รหัส,ชื่อคู่มือ,ปี,กอง/หมวด,คำสำคัญ,ลิงก์ PDF,เจ้าของ,สถานะ
HND-011,ความปลอดภัยในการผลิตและการใช้พลังงานแสงอาทิตย์ที่ติดตั้งบนหลังคา (Solar PV Rooftop Safety),2560,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"Solar PV,พลังงานแสงอาทิตย์,ความปลอดภัย",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-012,การจัดทำหนังสือราชการ หนังสือประชาสัมพันธ์และหนังสือที่เจ้าหน้าที่ทำขึ้นหรือรับไว้เป็นหลักฐานในราชการ,2558,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"หนังสือราชการ,ประชาสัมพันธ์,สารบรรณ",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-013,การใช้งานโปรแกรมสำเร็จรูป Google Calendar เพื่อลดรอบการปฏิบัติงาน,2558,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"Google Calendar,กระบวนการทำงาน",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-014,กิจกรรมการบริหารจัดการให้มีประสิทธิภาพด้วยเทคนิค 5 ส (ฉบับปรับปรุง),2558,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"5ส,บริหารจัดการ",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-015,การจัดทำหนังสือราชการ หนังสือประทับตราและหนังสือสั่งการ,2557,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"หนังสือราชการ,หนังสือประทับตรา,คำสั่ง",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; URL บนหน้าเดิมซ้ำกับรายการอื่น ต้องยืนยัน
HND-016,การจัดทำการควบคุมภายใน: การบริหารความเสี่ยง,2557,กองบริหารงานสำนักวิจัยฯ / งานบริหารและธุรการ,"ควบคุมภายใน,บริหารความเสี่ยง",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; URL บนหน้าเดิมซ้ำกับรายการอื่น ต้องยืนยัน
HND-017,คู่มือการจัดซื้อ/จัดจ้างโดยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),2566,กองบริหารงานสำนักวิจัยฯ / งานคลังและพัสดุ,"จัดซื้อจัดจ้าง,e-bidding",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; URL ตรวจพบ ขนาดไฟล์เกินตรวจเนื้อหา
HND-018,คู่มือแบบฟอร์มขออนุมัติเบิกเงินนอกงบประมาณหมวดค่าใช้สอย,2565,กองบริหารงานสำนักวิจัยฯ / งานคลังและพัสดุ,"เบิกเงิน,งบนอกงบประมาณ,ค่าใช้สอย",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-019,คู่มือแนวปฏิบัติขั้นตอนกระบวนการจัดซื้อจัดจ้างของโครงการบริการวิชาการ,2565,กองบริหารงานสำนักวิจัยฯ / งานคลังและพัสดุ,"จัดซื้อจัดจ้าง,บริการวิชาการ",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-020,การจำหน่ายพัสดุ,2564,กองบริหารงานสำนักวิจัยฯ / งานคลังและพัสดุ,"จำหน่ายพัสดุ,พัสดุ",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-021,การจ่ายเงินค่าตอบแทนพิเศษสำหรับการปฏิบัติงานนอกเวลา,2564,กองบริหารงานสำนักวิจัยฯ / งานคลังและพัสดุ,"ค่าตอบแทน,นอกเวลา",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-022,การบันทึกรายรับ-รายจ่ายในระบบควบคุมงบประมาณออนไลน์ e-Budgetcontrol กรณีงบประมาณ,2563,กองบริหารงานสำนักวิจัยฯ / งานคลังและพัสดุ,"e-Budgetcontrol,งบประมาณ,รายรับรายจ่าย",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-023,การจัดซื้อจัดจ้างโดยวิธีคัดเลือก,2563,กองบริหารงานสำนักวิจัยฯ / งานคลังและพัสดุ,"จัดซื้อจัดจ้าง,วิธีคัดเลือก",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-024,การจัดซื้อจัดจ้างโดยวิธีประกวดราคาอิเล็กทรอนิกส์ (e-bidding),2562,กองบริหารงานสำนักวิจัยฯ / งานคลังและพัสดุ,"จัดซื้อจัดจ้าง,e-bidding",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-025,การนำส่งเงินนอกงบประมาณ,2558,กองบริหารงานสำนักวิจัยฯ / งานคลังและพัสดุ,"เงินนอกงบประมาณ,นำส่งเงิน",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-026,การเบิกจ่ายเงินนอกงบประมาณ หมวดค่าใช้สอย,2558,กองบริหารงานสำนักวิจัยฯ / งานคลังและพัสดุ,"เบิกจ่าย,เงินนอกงบประมาณ,ค่าใช้สอย",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-027,งานนโยบาย แผนและประกันคุณภาพ ประจำปีงบประมาณ,2557,กองบริหารงานสำนักวิจัยฯ / งานนโยบาย แผนและประกันคุณภาพ,"นโยบาย,แผน,ประกันคุณภาพ",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-028,แหล่งทุนภายนอกด้านวิจัย,2559,กองบริหารงานวิจัย,"แหล่งทุน,วิจัย",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-029,การเปิดรับข้อเสนอการวิจัยประจำปีจากแหล่งทุนงบประมาณแผ่นดิน,2558,กองบริหารงานวิจัย,"ข้อเสนอวิจัย,ทุนวิจัย,งบประมาณแผ่นดิน",,สำนักวิจัยและส่งเสริมวิชาการการเกษตร,เผยแพร่แล้ว; ต้องล็อกอิน
HND-030,คู่มือกล้วยไม้รองเท้านารีของไทย,2567,กองบริหารงานบริการวิชาการ,"กล้วยไม้,รองเท้านารี,พืชอนุรักษ์",https://erp.mju.ac.th/openFile.aspx?id=NjY0MjUy&method=inline,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; PDF ตรวจพบ
HND-031,คู่มือกล้วยไม้รองเท้านารีของไทย,2566,กองบริหารงานบริการวิชาการ,"กล้วยไม้,รองเท้านารี,พืชอนุรักษ์",https://erp.mju.ac.th/openFile.aspx?id=NTk5MDIz&method=inline,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; PDF ตรวจพบ
HND-032,คู่มือการเลี้ยงสุกรพันธุ์,2566,กองบริหารงานบริการวิชาการ,"สุกร,การเลี้ยงสัตว์",https://erp.mju.ac.th/openFile.aspx?id=NTk5MDIw&method=inline,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; PDF ตรวจพบ
HND-033,กล้วยไม้รองเท้านารีของไทย,2560,กองบริหารงานบริการวิชาการ,"กล้วยไม้,รองเท้านารี",,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-034,การผลิตกล้วยหอมทองเชิงอุตสาหกรรม,2560,กองบริหารงานบริการวิชาการ,"กล้วยหอมทอง,การผลิต,เกษตร",https://erp.mju.ac.th/openFile.aspx?id=MjUxMjgz&method=inline,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; PDF ตรวจพบ
HND-035,การผลิตสแตติสโดยการเพาะเลี้ยงเนื้อเยื่อ,2560,กองบริหารงานบริการวิชาการ,"สแตติส,เพาะเลี้ยงเนื้อเยื่อ",https://erp.mju.ac.th/openFile.aspx?id=MjUxMjgw&method=inline,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; PDF ตรวจพบ
HND-036,การเลี้ยงสุกรพันธุ์,2560,กองบริหารงานบริการวิชาการ,"สุกร,การเลี้ยงสัตว์",,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-037,การขยายพันธุ์เจตมูลเพลิงแดงโดยวิธีเพาะเลี้ยงเนื้อเยื่อ,2560,กองบริหารงานบริการวิชาการ,"เจตมูลเพลิงแดง,เพาะเลี้ยงเนื้อเยื่อ",,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-038,แหล่งทุนภายนอกด้านบริการวิชาการ,2559,กองบริหารงานบริการวิชาการ,"แหล่งทุน,บริการวิชาการ",,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-039,การผลิตต้นกล้าสับปะรดเชิงอุตสาหกรรม,2559,กองบริหารงานบริการวิชาการ,"สับปะรด,ต้นกล้า,การผลิต",https://erp.mju.ac.th/openFile.aspx?id=MjUxMjgy&method=inline,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; PDF ตรวจพบ
HND-040,การผลิตหน้าวัวโดยการเพาะเลี้ยงเนื้อเยื่อ,2559,กองบริหารงานบริการวิชาการ,"หน้าวัว,เพาะเลี้ยงเนื้อเยื่อ",https://erp.mju.ac.th/openFile.aspx?id=MjUxMjgx&method=inline,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; PDF ตรวจพบ
HND-041,การผลิตสแตติสโดยการเพาะเลี้ยงเนื้อเยื่อ,2558,กองบริหารงานบริการวิชาการ,"สแตติส,เพาะเลี้ยงเนื้อเยื่อ",,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
HND-042,การปรับปรุงและขยายพันธุ์พืช,2557,กองบริหารงานบริการวิชาการ,"ปรับปรุงพันธุ์พืช,ขยายพันธุ์พืช",,กองบริหารงานบริการวิชาการ,เผยแพร่แล้ว; การเข้าถึงต้องตรวจสอบ
